,d_resistive,d_obs,time
0,2.639972338956162e-10,7.713625152086098e-10,1e-05
1,1.9352280867152708e-10,7.273582459537984e-10,1.584893192461114e-05
2,1.3474325268211023e-10,6.742409387578434e-10,2.5118864315095822e-05
3,8.909189246606812e-11,6.117251519237134e-10,3.9810717055349695e-05
4,5.5991333370217937e-11,5.402776127805701e-10,6.309573444801929e-05
5,3.347386295379356e-11,4.6143507991132667e-10,0.0001
6,1.902657165683783e-11,3.780986574119577e-10,0.00015848931924611142
7,1.0253534820409236e-11,2.946127559489008e-10,0.0002511886431509582
8,5.2124342438392794e-12,2.1639940187596892e-10,0.00039810717055349735
9,2.4845813314839407e-12,1.4899255291075077e-10,0.000630957344480193
10,1.1057055743789328e-12,9.635053786865886e-11,0.001
11,4.594251982245181e-13,5.861208677325023e-11,0.001584893192461114
12,1.7918793518346763e-13,3.268683982173345e-11,0.002511886431509582
13,6.622422114234687e-14,1.598716303672162e-11,0.003981071705534973
14,2.344875275268308e-14,6.677212790697084e-12,0.006309573444801936
15,8.036881214523741e-15,2.3687361148697517e-12,0.01
